index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,Japanese Stop Sign Used From 1960 to 1963,level_1,existence,high,Is a roadside traffic stop sign depicted?,yes,yes|no|unknown,A roadside traffic stop sign is depicted.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,counting,medium,Is exactly one stop sign face shown?,yes,yes|no|unknown,Exactly one stop sign face is shown.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,shape,high,Is the sign face octagonal?,yes,yes|no|unknown,The sign face is octagonal (8-sided).
1,Japanese Stop Sign Used From 1960 to 1963,level_1,color,high,Is the sign face predominantly red?,yes,yes|no|unknown,The sign face is predominantly red.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,others,high,Is the sign the Japanese stop sign design used from 1960 to 1963?,yes,yes|no|unknown,The sign is identifiable as the Japanese stop sign design used from 1960 to 1963.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,existence,high,"Is there Japanese writing on the sign face indicating ""stop""?",yes,yes|no|unknown,Japanese writing is present on the sign face indicating 'stop'.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,existence,high,"Is the English text ""STOP"" present on the sign face?",yes,yes|no|unknown,English text 'STOP' is present on the sign face.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,shape,high,Does the octagon have a border outline around its edge?,yes,yes|no|unknown,A border outline is present around the edge of the octagon.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,color,high,Do the border and Japanese writing contrast strongly with the red background?,yes,yes|no|unknown,"The border and the Japanese writing contrast strongly with the red background (e.g., light/white elements on red)."
1,Japanese Stop Sign Used From 1960 to 1963,level_2,others,medium,Does the sign have a physical sign face?,yes,yes|no|unknown,The sign appears as a physical sign face (not only the word 'stop' without a sign shape).
1,Japanese Stop Sign Used From 1960 to 1963,level_3,existence,medium,Does the sign's Japanese text read '止まれ' or an equivalent Japanese rendering meaning 'stop'?,yes,yes|no|unknown,The Japanese text on the sign reads '止まれ' or an equivalent Japanese rendering meaning 'stop'.
2,Deluxe taxi in South Korea,level_1,existence,high,Is a taxi vehicle shown?,yes,yes|no|unknown,A taxi vehicle is shown.
2,Deluxe taxi in South Korea,level_1,shape,medium,Is the taxi a passenger car?,yes,yes|no|unknown,"The taxi is a passenger car (not a bus, motorcycle, or bicycle)."
2,Deluxe taxi in South Korea,level_1,scene,medium,Is the taxi shown outdoors on a street or road?,yes,yes|no|unknown,The taxi is shown in an outdoor street/road setting.
2,Deluxe taxi in South Korea,level_1,others,high,Does the taxi have visible indications that it is a deluxe or premium taxi?,yes,yes|no|unknown,"The taxi has visible indications that it is a deluxe/premium taxi (not a generic, unmarked car)."
2,Deluxe taxi in South Korea,level_2,existence,high,Is there a taxi roof sign light on top of the vehicle?,yes,yes|no|unknown,A taxi roof sign/light is present on top of the vehicle.
2,Deluxe taxi in South Korea,level_2,relation,high,Is the roof sign/light mounted on the roof of the taxi?,yes,yes|no|unknown,The roof sign/light is mounted on the roof of the taxi.
2,Deluxe taxi in South Korea,level_2,shape,medium,Does the vehicle have a sedan-like passenger car shape?,yes,yes|no|unknown,The vehicle appears as a sedan-type passenger car (typical taxi car form).
2,Deluxe taxi in South Korea,level_2,color,medium,Is the taxi’s body predominantly black?,yes,yes|no|unknown,The taxi’s body is predominantly black (a common visual identifier of deluxe taxis in South Korea).
3,A current London police officer uniform,level_1,existence,high,Is a London police officer uniform depicted?,yes,yes|no|unknown,A London police officer uniform is depicted (clothing/equipment identifiable as a police uniform).
3,A current London police officer uniform,level_1,color,medium,Is the uniform predominantly dark-colored?,yes,yes|no|unknown,"The uniform is predominantly dark-colored (e.g., black/navy)."
3,A current London police officer uniform,level_2,existence,high,Is an outer body-armor or stab-vest style layer part of the uniform?,yes,yes|no|unknown,An outer body-armor/stab-vest style layer is present as part of the uniform.
3,A current London police officer uniform,level_2,existence,high,Is a uniform top present as part of the uniform?,yes,yes|no|unknown,"A uniform top is present (e.g., shirt/polo) as part of the uniform."
3,A current London police officer uniform,level_2,existence,high,Are uniform trousers present as part of the uniform?,yes,yes|no|unknown,Uniform trousers are present as part of the uniform.
3,A current London police officer uniform,level_2,existence,high,Are black police caps with checkered bands worn as part of the uniform?,yes,yes|no|unknown,Black police caps with checkered bands are worn as part of the uniform.
3,A current London police officer uniform,level_2,relation,high,"Does the uniform have a visible police identifier or marking such as the word ""POLICE""?",yes,yes|no|unknown,"A visible police identifier/marking appears on the uniform (e.g., the word “POLICE” on the vest/jacket)."
3,A current London police officer uniform,level_2,shape,medium,Does the outer layer have the appearance of a modern tactical vest or body armor?,yes,yes|no|unknown,The outer layer has the appearance of a modern tactical vest/body armor (panelled vest shape rather than a formal buttoned tunic).
3,A current London police officer uniform,level_2,color,medium,Is the vest/body-armor layer a dark color?,yes,yes|no|unknown,"The vest/body-armor layer is a dark color (e.g., black/navy)."
3,A current London police officer uniform,level_2,others,medium,"Does the uniform include a current UK/London policing element such as epaulettes, a radio or bodycam attachment, or a modern duty-belt or vest mount?",yes,yes|no|unknown,"The uniform includes at least one element typical of current UK/London policing (e.g., epaulettes, utility attachments like radio/bodycam, or modern duty-belt/vest mounting)."
4,A current front US 100 dollar bill,level_1,existence,high,Is a US 100-dollar banknote depicted?,yes,yes|no|unknown,A US 100-dollar banknote is depicted.
4,A current front US 100 dollar bill,level_1,existence,high,Is the front (obverse) side of the bill shown?,yes,yes|no|unknown,The front (obverse) side of the bill is shown.
4,A current front US 100 dollar bill,level_1,relation,medium,Are the portrait area on the left and the security features on the right?,yes,yes|no|unknown,"The bill’s design elements are arranged as on the modern US $100 obverse (portrait area on the left, security features on the right)."
4,A current front US 100 dollar bill,level_1,shape,high,Is the bill a horizontally oriented rectangle?,yes,yes|no|unknown,The bill is a horizontally oriented rectangle.
4,A current front US 100 dollar bill,level_1,others,high,Does the design match the current US $100 bill style with the security ribbon?,yes,yes|no|unknown,The design matches the current/modern US $100 bill style (including the modern security ribbon feature).
4,A current front US 100 dollar bill,level_2,existence,high,Is a portrait of Benjamin Franklin present on the bill?,yes,yes|no|unknown,A portrait of Benjamin Franklin is present on the bill.
4,A current front US 100 dollar bill,level_2,existence,high,Is there a blue security ribbon on the front of the bill?,yes,yes|no|unknown,A blue security ribbon is present on the front of the bill.
4,A current front US 100 dollar bill,level_2,existence,high,Is there a copper-colored inkwell graphic with a bell inside it?,yes,yes|no|unknown,A copper-colored inkwell graphic with a bell inside it is present.
4,A current front US 100 dollar bill,level_2,existence,high,"Is there at least one prominent ""100"" denomination marking on the bill?",yes,yes|no|unknown,At least one prominent '100' denomination marking is present.
4,A current front US 100 dollar bill,level_2,counting,medium,Are there two serial numbers on the front of the bill?,yes,yes|no|unknown,Two serial numbers are present on the front of the bill.
4,A current front US 100 dollar bill,level_2,relation,high,Is Benjamin Franklin’s portrait positioned left of center?,yes,yes|no|unknown,Benjamin Franklin’s portrait is positioned left of center.
4,A current front US 100 dollar bill,level_2,relation,high,Does the blue security ribbon run vertically to the right of Franklin’s portrait?,yes,yes|no|unknown,The blue security ribbon runs vertically to the right of Franklin’s portrait.
4,A current front US 100 dollar bill,level_2,relation,high,Is the inkwell-and-bell graphic positioned to the right of the blue security ribbon?,yes,yes|no|unknown,The inkwell-and-bell graphic is positioned to the right of the blue security ribbon.
4,A current front US 100 dollar bill,level_2,shape,medium,Does the security ribbon appear as a vertical strip or band?,yes,yes|no|unknown,The security ribbon appears as a vertical strip/band.
4,A current front US 100 dollar bill,level_2,shape,medium,Does the inkwell graphic have a bell shape inside it?,yes,yes|no|unknown,The inkwell graphic has an inkwell shape with a bell shape inside it.
4,A current front US 100 dollar bill,level_2,color,high,Is the security ribbon blue?,yes,yes|no|unknown,The security ribbon is blue.
4,A current front US 100 dollar bill,level_2,color,high,Is the inkwell graphic copper or gold-toned?,yes,yes|no|unknown,The inkwell graphic is copper/gold-toned.
4,A current front US 100 dollar bill,level_2,others,medium,Is there a green US Treasury seal on the front of the bill?,yes,yes|no|unknown,A green US Treasury seal is present on the front of the bill.
4,A current front US 100 dollar bill,level_2,others,medium,Is there a Federal Reserve seal on the front of the bill?,yes,yes|no|unknown,A Federal Reserve seal (circular emblem) is present on the front of the bill.
4,A current front US 100 dollar bill,level_3,existence,high,"Is there a large gold-colored ""100"" in the lower-right area of the bill?",yes,yes|no|unknown,A large gold-colored '100' is present in the lower-right area of the bill (front side).
4,A current front US 100 dollar bill,level_3,existence,high,Does the front of the bill include the text 'THE UNITED STATES OF AMERICA'?,yes,yes|no|unknown,The text 'THE UNITED STATES OF AMERICA' appears on the front of the bill.
4,A current front US 100 dollar bill,level_3,existence,high,"Does the front of the bill show the text ""FEDERAL RESERVE NOTE""?",yes,yes|no|unknown,The text 'FEDERAL RESERVE NOTE' appears on the front of the bill.
4,A current front US 100 dollar bill,level_3,counting,medium,Are there exactly two serial numbers on the bill?,yes,yes|no|unknown,There are exactly two serial numbers (one on the left side and one on the right side of the bill).
4,A current front US 100 dollar bill,level_3,relation,medium,Is the large gold '100' located near the lower-right corner area?,yes,yes|no|unknown,The large gold '100' is located near the lower-right corner area.
4,A current front US 100 dollar bill,level_3,color,medium,Is the large '100' in the lower-right area gold-colored?,yes,yes|no|unknown,The large '100' in the lower-right area is gold-colored.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,existence,high,Is a Swiss Guard uniform depicted?,yes,yes|no|unknown,A Swiss Guard uniform is depicted.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,relation,high,Is the Swiss Guard uniform shown in a setting that is visually identifiable as the Vatican?,yes,yes|no|unknown,The Swiss Guard uniform is shown in a setting visually identifiable as being at the Vatican.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,scene,high,Does the scene show recognizable Vatican City features such as St. Peter’s Square or St. Peter’s Basilica?,yes,yes|no|unknown,"The scene includes visible architectural or environmental cues that can plausibly identify Vatican City (e.g., recognizable Vatican/St. Peter’s Square/St. Peter’s Basilica elements)."
5,A Swiss Guard uniform at the Vatican in 2005,level_1,others,low,Does the image look consistent with a depiction from 2005?,yes,yes|no|unknown,"The overall depiction does not visibly contradict the stated year (2005) (e.g., it does not appear as an antique engraving or a clearly centuries-old depiction)."
5,A Swiss Guard uniform at the Vatican in 2005,level_2,existence,high,Does the uniform include a tunic or doublet and matching trousers?,yes,yes|no|unknown,The uniform includes a tunic/doublet and matching trousers.
5,A Swiss Guard uniform at the Vatican in 2005,level_2,existence,high,Is the uniform worn with a tall plumed helmet?,yes,yes|no|unknown,The uniform is worn with a tall plumed helmet.
5,A Swiss Guard uniform at the Vatican in 2005,level_2,relation,high,Are the tunic and trousers shown together as one complete uniform outfit?,yes,yes|no|unknown,The tunic and trousers are worn together as a single uniform outfit (or displayed together as a complete set).
5,A Swiss Guard uniform at the Vatican in 2005,level_2,shape,medium,Does the uniform have a Swiss Guard Renaissance-style silhouette with a structured tunic and fitted or segmented puffed styling?,yes,yes|no|unknown,The uniform has the characteristic Swiss Guard Renaissance-style silhouette (structured tunic and fitted or segmented/puffed styling rather than a modern plain suit).
5,A Swiss Guard uniform at the Vatican in 2005,level_2,color,high,"Does the uniform prominently feature blue, red, and yellow?",yes,yes|no|unknown,"The uniform prominently features the traditional Swiss Guard colors: blue, red, and yellow."
5,A Swiss Guard uniform at the Vatican in 2005,level_2,scene,medium,Is the setting outdoors or in a Vatican courtyard or entrance area?,yes,yes|no|unknown,The uniform is shown outdoors or in a Vatican courtyard/entrance-type space consistent with the Vatican setting.
5,A Swiss Guard uniform at the Vatican in 2005,level_3,existence,medium,"Does the uniform’s tunic and trousers have bold blue, red, and yellow block or stripe patterns?",yes,yes|no|unknown,"The uniform’s fabric pattern appears as bold blocks/stripes of blue, red, and yellow on the tunic and trousers."
6,A current UK passport cover,level_1,existence,high,Is a passport front cover shown?,yes,yes|no|unknown,A passport front cover is shown.
6,A current UK passport cover,level_1,shape,medium,Is the cover a vertically oriented rectangular booklet cover?,yes,yes|no|unknown,The cover is a vertically oriented rectangular booklet cover.
6,A current UK passport cover,level_1,color,medium,Is the passport cover dark blue?,yes,yes|no|unknown,The cover’s main/background color is dark blue.
6,A current UK passport cover,level_1,others,high,Does the passport cover have the current UK design?,yes,yes|no|unknown,The cover design corresponds to the current UK (British) passport cover design rather than an older burgundy EU-style cover.
6,A current UK passport cover,level_2,existence,high,Is a UK royal coat of arms emblem present on the cover?,yes,yes|no|unknown,A UK royal coat of arms emblem is present on the cover.
6,A current UK passport cover,level_2,existence,high,"Do the words ""BRITISH PASSPORT"" appear on the cover?",yes,yes|no|unknown,"The words ""BRITISH PASSPORT"" appear on the cover."
6,A current UK passport cover,level_2,existence,high,"Do the words ""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"" appear on the cover?",yes,yes|no|unknown,"The words ""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"" appear on the cover."
6,A current UK passport cover,level_2,color,high,"Do the coat of arms, the text, and the biometric symbol appear in gold-colored emboss/print against a dark blue cover?",yes,yes|no|unknown,"The coat of arms, the text, and the biometric symbol appear in a gold-colored emboss/print against the dark blue cover."
6,A current UK passport cover,level_3,existence,low,Is there a small gold emblem visible near the bottom of the cover?,yes,yes|no|unknown,A small gold emblem is visible near the bottom of the cover.
7,A current pedestrian crossing sign in Germany,level_1,existence,high,Is a pedestrian crossing traffic sign depicted?,yes,yes|no|unknown,A pedestrian crossing traffic sign is depicted.
7,A current pedestrian crossing sign in Germany,level_1,shape,high,Does the sign have a square overall shape?,yes,yes|no|unknown,The sign has a square overall shape.
7,A current pedestrian crossing sign in Germany,level_1,color,high,Does the sign have a blue background with white and black elements?,yes,yes|no|unknown,The sign uses the typical German pedestrian crossing sign color scheme: blue background with white and black elements.
