index,prompt
1,"A Japanese stop sign used from 1960 to 1963"
2,"A deluxe taxi in South Korea in the mid-2020s"
3,"A London Metropolitan Police officer uniform in 2026"
4,"The front side of a U.S. 100 dollar bill in 2026"
5,"A Swiss Guard uniform at the Vatican in 2005"
6,"A British passport cover issued in early 2026"
7,"A German pedestrian crossing sign in 2026"
8,"The front side of a 50 euro banknote from the Europa series"
9,"The front cover of a South Korean passport issued after 2021"
10,"A German Umweltplakette sticker on a car windshield in 2026"
11,"An iPhone 17 Pro from the back, official 2025 design"
12,"A current South Korean police patrol car in 2026"
13,"A current South Korean 50,000 won banknote front side"
14,"A current German Autobahn no-speed-limit sign"
15,"A current London black cab seen from the front"
16,"A current South Korean electric vehicle license plate"
17,"A Beefeater guard at the Tower of London in formal uniform"
18,"A current London Underground roundel sign"
19,"A current Paris Metro entrance sign"
20,"A current Royal Mail post box in the United Kingdom"
21,"A current Deutsche Post mailbox in Germany"
22,"The front side of an Indian 500-rupee banknote in 2026"
23,"The front side of an Indian passport cover issued in 2026"
24,"A current Thai tuk-tuk in Bangkok"
25,"A current Singapore ERP gantry sign"
26,"The front side of a Turkish passport cover in 2026"
27,"A U.S. school bus stop sign arm extended from the side of the bus"
28,"A galaxy fold 7"
29,"A current U.S. pedestrian signal showing the orange upraised hand and number"
30,"The front side of a Japanese 10,000 yen banknote in 2026"
