index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,Japanese Stop Sign Used From 1960 to 1963,level_1,existence,high,Is a roadside traffic stop sign depicted?,yes,yes|no|unknown,A roadside traffic stop sign is depicted.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,counting,medium,Is exactly one stop sign face shown?,yes,yes|no|unknown,Exactly one stop sign face is shown.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,shape,high,Is the sign face octagonal with 8 sides?,yes,yes|no|unknown,The sign face is octagonal (8-sided).
1,Japanese Stop Sign Used From 1960 to 1963,level_1,color,high,Is the sign face predominantly red?,yes,yes|no|unknown,The sign face is predominantly red.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,others,high,Is the sign identifiable as the Japanese stop sign design used from 1960 to 1963?,yes,yes|no|unknown,The sign is identifiable as the Japanese stop sign design used from 1960 to 1963.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,existence,high,"Is Japanese writing present on the sign face indicating ""stop""?",yes,yes|no|unknown,Japanese writing is present on the sign face indicating 'stop'.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,shape,high,Is there a border outline around the edge of the octagon?,yes,yes|no|unknown,A border outline is present around the edge of the octagon.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,color,high,Do the border and the Japanese writing contrast strongly with the red background?,yes,yes|no|unknown,"The border and the Japanese writing contrast strongly with the red background (e.g., light/white elements on red)."
1,Japanese Stop Sign Used From 1960 to 1963,level_2,others,medium,Does the image show the stop sign as a physical sign face with a sign shape?,yes,yes|no|unknown,The sign appears as a physical sign face (not only the word 'stop' without a sign shape).
1,Japanese Stop Sign Used From 1960 to 1963,level_3,existence,medium,"Does the Japanese text on the sign read ""止まれ"" or an equivalent Japanese rendering meaning ""stop""?",yes,yes|no|unknown,The Japanese text on the sign reads '止まれ' or an equivalent Japanese rendering meaning 'stop'.
2,Deluxe taxi in South Korea,level_1,existence,high,Is a taxi vehicle shown?,yes,yes|no|unknown,A taxi vehicle is shown.
2,Deluxe taxi in South Korea,level_1,relation,high,Does the scene include a South Korea-specific cue such as Hangul signage or a Korean-style license plate?,yes,yes|no|unknown,"The taxi is shown in a context that visually indicates South Korea (at least one clear Korea-specific cue is visible, such as Hangul signage/text or a Korean-style license plate)."
2,Deluxe taxi in South Korea,level_1,shape,medium,Is the taxi a passenger car?,yes,yes|no|unknown,"The taxi is a passenger car (not a bus, motorcycle, or bicycle)."
2,Deluxe taxi in South Korea,level_1,scene,medium,Is the taxi shown on an outdoor street or road?,yes,yes|no|unknown,The taxi is shown in an outdoor street/road setting.
2,Deluxe taxi in South Korea,level_1,others,high,Does the taxi have visible indications that it is a deluxe or premium taxi?,yes,yes|no|unknown,"The taxi has visible indications that it is a deluxe/premium taxi (not a generic, unmarked car)."
2,Deluxe taxi in South Korea,level_2,existence,high,Is there a taxi roof sign or light on top of the vehicle?,yes,yes|no|unknown,A taxi roof sign/light is present on top of the vehicle.
2,Deluxe taxi in South Korea,level_2,relation,high,Is the roof sign or light mounted on the roof of the taxi?,yes,yes|no|unknown,The roof sign/light is mounted on the roof of the taxi.
2,Deluxe taxi in South Korea,level_2,shape,medium,Does the vehicle appear as a sedan-type passenger car?,yes,yes|no|unknown,The vehicle appears as a sedan-type passenger car (typical taxi car form).
2,Deluxe taxi in South Korea,level_2,color,medium,Is the taxi’s body predominantly black?,yes,yes|no|unknown,The taxi’s body is predominantly black (a common visual identifier of deluxe taxis in South Korea).
2,Deluxe taxi in South Korea,level_2,others,high,Is there Korean (Hangul) text on the taxi or in the immediate surroundings?,yes,yes|no|unknown,"Korean (Hangul) text is visible either on the taxi (e.g., roof sign/door markings) or in the immediate surroundings (e.g., street signs/building signs), supporting that the location is South Korea."
2,Deluxe taxi in South Korea,level_3,others,medium,Does the taxi roof sign include Korean text commonly used for deluxe taxis such as '모범' or equivalent wording indicating deluxe status?,yes,yes|no|unknown,"The roof sign includes Korean text commonly used for deluxe taxis (e.g., '모범') or equivalent visible wording indicating deluxe status."
3,A current London police officer uniform,level_1,existence,high,Is a London police officer uniform depicted?,yes,yes|no|unknown,A London police officer uniform is depicted (clothing/equipment identifiable as a police uniform).
3,A current London police officer uniform,level_1,color,medium,Is the uniform predominantly dark-colored such as black or navy?,yes,yes|no|unknown,"The uniform is predominantly dark-colored (e.g., black/navy)."
3,A current London police officer uniform,level_1,others,high,Does the police officer uniform appear contemporary or modern in style?,yes,yes|no|unknown,"The uniform appears contemporary/modern rather than historical (e.g., modern cut/materials rather than an old-style tunic-only look)."
3,A current London police officer uniform,level_2,existence,high,Is an outer body-armor or stab-vest style layer present as part of the uniform?,yes,yes|no|unknown,An outer body-armor/stab-vest style layer is present as part of the uniform.
3,A current London police officer uniform,level_2,existence,high,Is a uniform top such as a shirt or polo present as part of the police officer uniform?,yes,yes|no|unknown,"A uniform top is present (e.g., shirt/polo) as part of the uniform."
3,A current London police officer uniform,level_2,existence,high,Are uniform trousers present as part of the uniform?,yes,yes|no|unknown,Uniform trousers are present as part of the uniform.
3,A current London police officer uniform,level_2,relation,high,"Does the uniform display a police identifier or marking such as the word ""POLICE"" on the vest or jacket?",yes,yes|no|unknown,"A visible police identifier/marking appears on the uniform (e.g., the word “POLICE” on the vest/jacket)."
3,A current London police officer uniform,level_2,shape,medium,Does the outer layer have the appearance of a modern tactical vest or body armor with a panelled vest shape?,yes,yes|no|unknown,The outer layer has the appearance of a modern tactical vest/body armor (panelled vest shape rather than a formal buttoned tunic).
3,A current London police officer uniform,level_2,color,medium,Is the vest or body-armor layer a dark color such as black or navy?,yes,yes|no|unknown,"The vest/body-armor layer is a dark color (e.g., black/navy)."
3,A current London police officer uniform,level_2,others,medium,"Does the uniform include an element typical of current UK/London policing, such as epaulettes, a radio or bodycam attachment, or a modern duty-belt or vest mounting?",yes,yes|no|unknown,"The uniform includes at least one element typical of current UK/London policing (e.g., epaulettes, utility attachments like radio/bodycam, or modern duty-belt/vest mounting)."
4,A current front US 100 dollar bill,level_1,existence,high,Is a US 100-dollar banknote depicted?,yes,yes|no|unknown,A US 100-dollar banknote is depicted.
4,A current front US 100 dollar bill,level_1,existence,high,Is the front (obverse) side of the bill shown?,yes,yes|no|unknown,The front (obverse) side of the bill is shown.
4,A current front US 100 dollar bill,level_1,relation,medium,"Are the bill’s design elements arranged as on the modern US $100 obverse, with the portrait area on the left and the security features on the right?",yes,yes|no|unknown,"The bill’s design elements are arranged as on the modern US $100 obverse (portrait area on the left, security features on the right)."
4,A current front US 100 dollar bill,level_1,shape,high,Is the bill a horizontally oriented rectangle?,yes,yes|no|unknown,The bill is a horizontally oriented rectangle.
4,A current front US 100 dollar bill,level_1,color,high,Is the image in color?,yes,yes|no|unknown,The image is in color (not grayscale).
4,A current front US 100 dollar bill,level_1,others,high,Does the bill match the modern US $100 design style and include the blue security ribbon?,yes,yes|no|unknown,The design matches the current/modern US $100 bill style (including the modern security ribbon feature).
4,A current front US 100 dollar bill,level_2,existence,high,Does the bill show a portrait of Benjamin Franklin?,yes,yes|no|unknown,A portrait of Benjamin Franklin is present on the bill.
4,A current front US 100 dollar bill,level_2,existence,high,Is there a blue security ribbon on the front of the bill?,yes,yes|no|unknown,A blue security ribbon is present on the front of the bill.
4,A current front US 100 dollar bill,level_2,existence,high,Is there a copper-colored inkwell graphic with a bell inside it?,yes,yes|no|unknown,A copper-colored inkwell graphic with a bell inside it is present.
4,A current front US 100 dollar bill,level_2,existence,high,"Is a prominent ""100"" denomination marking present?",yes,yes|no|unknown,At least one prominent '100' denomination marking is present.
4,A current front US 100 dollar bill,level_2,counting,medium,Are two serial numbers present on the front of the bill?,yes,yes|no|unknown,Two serial numbers are present on the front of the bill.
4,A current front US 100 dollar bill,level_2,relation,high,Is Benjamin Franklin’s portrait positioned left of center on the bill?,yes,yes|no|unknown,Benjamin Franklin’s portrait is positioned left of center.
4,A current front US 100 dollar bill,level_2,relation,high,Does the blue security ribbon run vertically to the right of Franklin’s portrait?,yes,yes|no|unknown,The blue security ribbon runs vertically to the right of Franklin’s portrait.
4,A current front US 100 dollar bill,level_2,relation,high,Is the inkwell-and-bell graphic positioned to the right of the blue security ribbon on the bill?,yes,yes|no|unknown,The inkwell-and-bell graphic is positioned to the right of the blue security ribbon.
4,A current front US 100 dollar bill,level_2,shape,medium,Does the security ribbon appear as a vertical strip or band?,yes,yes|no|unknown,The security ribbon appears as a vertical strip/band.
4,A current front US 100 dollar bill,level_2,shape,medium,Does the inkwell graphic have an inkwell shape with a bell shape inside it?,yes,yes|no|unknown,The inkwell graphic has an inkwell shape with a bell shape inside it.
4,A current front US 100 dollar bill,level_2,color,high,Is the security ribbon blue?,yes,yes|no|unknown,The security ribbon is blue.
4,A current front US 100 dollar bill,level_2,color,high,Is the inkwell graphic copper/gold-toned?,yes,yes|no|unknown,The inkwell graphic is copper/gold-toned.
4,A current front US 100 dollar bill,level_2,others,medium,Is there a green US Treasury seal on the front of the bill?,yes,yes|no|unknown,A green US Treasury seal is present on the front of the bill.
4,A current front US 100 dollar bill,level_2,others,medium,Is there a Federal Reserve seal on the front of the bill?,yes,yes|no|unknown,A Federal Reserve seal (circular emblem) is present on the front of the bill.
4,A current front US 100 dollar bill,level_3,existence,high,"Is there a large gold-colored ""100"" in the lower-right area of the front side of the bill?",yes,yes|no|unknown,A large gold-colored '100' is present in the lower-right area of the bill (front side).
4,A current front US 100 dollar bill,level_3,existence,high,"Does the text ""THE UNITED STATES OF AMERICA"" appear on the front of the bill?",yes,yes|no|unknown,The text 'THE UNITED STATES OF AMERICA' appears on the front of the bill.
4,A current front US 100 dollar bill,level_3,existence,high,"Does the text ""FEDERAL RESERVE NOTE"" appear on the front of the bill?",yes,yes|no|unknown,The text 'FEDERAL RESERVE NOTE' appears on the front of the bill.
4,A current front US 100 dollar bill,level_3,counting,medium,"Are there exactly two serial numbers on the bill, one on the left side and one on the right side?",yes,yes|no|unknown,There are exactly two serial numbers (one on the left side and one on the right side of the bill).
4,A current front US 100 dollar bill,level_3,relation,medium,"Is the large gold ""100"" located near the lower-right corner area?",yes,yes|no|unknown,The large gold '100' is located near the lower-right corner area.
4,A current front US 100 dollar bill,level_3,color,medium,Is the large '100' in the lower-right area gold-colored?,yes,yes|no|unknown,The large '100' in the lower-right area is gold-colored.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,existence,high,Is a Swiss Guard uniform depicted?,yes,yes|no|unknown,A Swiss Guard uniform is depicted.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,relation,high,Is the Swiss Guard uniform shown in a setting visually identifiable as being at the Vatican?,yes,yes|no|unknown,The Swiss Guard uniform is shown in a setting visually identifiable as being at the Vatican.
5,A Swiss Guard uniform at the Vatican in 2005,level_1,scene,high,Does the scene include architectural or environmental cues that plausibly identify Vatican City?,yes,yes|no|unknown,"The scene includes visible architectural or environmental cues that can plausibly identify Vatican City (e.g., recognizable Vatican/St. Peter’s Square/St. Peter’s Basilica elements)."
5,A Swiss Guard uniform at the Vatican in 2005,level_2,existence,high,Does the Swiss Guard uniform include a tunic or doublet and matching trousers?,yes,yes|no|unknown,The uniform includes a tunic/doublet and matching trousers.
5,A Swiss Guard uniform at the Vatican in 2005,level_2,relation,high,Are the tunic and trousers worn together as a single uniform outfit or displayed together as a complete set?,yes,yes|no|unknown,The tunic and trousers are worn together as a single uniform outfit (or displayed together as a complete set).
5,A Swiss Guard uniform at the Vatican in 2005,level_2,shape,medium,Does the uniform have the characteristic Swiss Guard Renaissance-style silhouette with a structured tunic and fitted or segmented or puffed styling?,yes,yes|no|unknown,The uniform has the characteristic Swiss Guard Renaissance-style silhouette (structured tunic and fitted or segmented/puffed styling rather than a modern plain suit).
5,A Swiss Guard uniform at the Vatican in 2005,level_2,color,high,"Does the uniform prominently feature the traditional Swiss Guard colors blue, red, and yellow?",yes,yes|no|unknown,"The uniform prominently features the traditional Swiss Guard colors: blue, red, and yellow."
5,A Swiss Guard uniform at the Vatican in 2005,level_2,scene,medium,Is the Swiss Guard uniform shown outdoors or in a Vatican courtyard or entrance-type space consistent with the Vatican setting?,yes,yes|no|unknown,The uniform is shown outdoors or in a Vatican courtyard/entrance-type space consistent with the Vatican setting.
5,A Swiss Guard uniform at the Vatican in 2005,level_3,existence,medium,"Does the uniform’s fabric pattern appear as bold blocks or stripes of blue, red, and yellow on the tunic and trousers?",yes,yes|no|unknown,"The uniform’s fabric pattern appears as bold blocks/stripes of blue, red, and yellow on the tunic and trousers."
6,A current UK passport cover,level_1,existence,high,Is a passport front cover shown?,yes,yes|no|unknown,A passport front cover is shown.
6,A current UK passport cover,level_1,shape,medium,Is the cover a vertically oriented rectangular booklet cover?,yes,yes|no|unknown,The cover is a vertically oriented rectangular booklet cover.
6,A current UK passport cover,level_1,color,medium,Is the passport cover's main or background color dark blue?,yes,yes|no|unknown,The cover’s main/background color is dark blue.
6,A current UK passport cover,level_1,others,high,Does the passport cover match the current UK (British) passport cover design?,yes,yes|no|unknown,The cover design corresponds to the current UK (British) passport cover design rather than an older burgundy EU-style cover.
6,A current UK passport cover,level_2,existence,high,Is there a UK royal coat of arms emblem on the passport cover?,yes,yes|no|unknown,A UK royal coat of arms emblem is present on the cover.
6,A current UK passport cover,level_2,existence,high,"Do the words ""BRITISH PASSPORT"" appear on the cover?",yes,yes|no|unknown,"The words ""BRITISH PASSPORT"" appear on the cover."
6,A current UK passport cover,level_2,existence,high,"Do the words ""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"" appear on the cover?",yes,yes|no|unknown,"The words ""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND"" appear on the cover."
