index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,Japanese Stop Sign Used From 1960 to 1963,level_1,existence,high,Is a roadside traffic stop sign depicted?,yes,yes|no|unknown,A roadside traffic stop sign is depicted.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,shape,high,Is the sign face octagonal with 8 sides?,yes,yes|no|unknown,The sign face is octagonal (8-sided).
1,Japanese Stop Sign Used From 1960 to 1963,level_1,color,high,Is the sign face predominantly red?,yes,yes|no|unknown,The sign face is predominantly red.
1,Japanese Stop Sign Used From 1960 to 1963,level_1,others,high,Does the sign have a red octagonal shape with Japanese stop text and a contrasting border matching the 1960–1963 Japanese stop-sign design?,yes,yes|no|unknown,The sign’s overall appearance matches the historic Japanese stop-sign design associated with 1960–1963 (red octagon with Japanese stop text and a contrasting border).
1,Japanese Stop Sign Used From 1960 to 1963,level_2,existence,high,"Is Japanese writing present on the sign face indicating ""stop""?",yes,yes|no|unknown,Japanese writing is present on the sign face indicating 'stop'.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,shape,high,Is there a border outline around the edge of the octagon?,yes,yes|no|unknown,A border outline is present around the edge of the octagon.
1,Japanese Stop Sign Used From 1960 to 1963,level_2,color,high,Do the border and the Japanese writing contrast strongly with the red background?,yes,yes|no|unknown,"The border and the Japanese writing contrast strongly with the red background (e.g., light/white elements on red)."
1,Japanese Stop Sign Used From 1960 to 1963,level_2,others,medium,Does the image show a stop sign as a physical sign face with a sign shape?,yes,yes|no|unknown,The sign appears as a physical sign face (not only the word 'stop' without a sign shape).
1,Japanese Stop Sign Used From 1960 to 1963,level_3,existence,medium,"Does the Japanese text on the sign read ""止まれ"" or an equivalent Japanese rendering meaning ""stop""?",yes,yes|no|unknown,The Japanese text on the sign reads '止まれ' or an equivalent Japanese rendering meaning 'stop'.
2,Deluxe taxi in South Korea,level_1,existence,high,Is a taxi vehicle shown?,yes,yes|no|unknown,A taxi vehicle is shown.
2,Deluxe taxi in South Korea,level_1,relation,high,Does the image include at least one South Korea-specific cue such as Hangul signage or a Korean-style license plate?,yes,yes|no|unknown,"The taxi is shown in a context that visually indicates South Korea (at least one clear Korea-specific cue is visible, such as Hangul signage/text or a Korean-style license plate)."
2,Deluxe taxi in South Korea,level_1,shape,medium,Is the taxi a passenger car?,yes,yes|no|unknown,"The taxi is a passenger car (not a bus, motorcycle, or bicycle)."
2,Deluxe taxi in South Korea,level_1,others,high,Does the taxi have visible indications that it is a deluxe or premium taxi?,yes,yes|no|unknown,"The taxi has visible indications that it is a deluxe/premium taxi (not a generic, unmarked car)."
2,Deluxe taxi in South Korea,level_2,existence,high,Is there a clear taxi identifier such as a roof taxi sign or prominent taxi markings?,yes,yes|no|unknown,"At least one clear taxi identifier is visible (e.g., a roof taxi sign/light OR prominent taxi markings/decals)."
2,Deluxe taxi in South Korea,level_2,relation,high,Is the roof taxi sign or light mounted on the roof of the vehicle?,yes,yes|no|unknown,"If a roof taxi sign/light is present, it is mounted on the roof of the vehicle."
2,Deluxe taxi in South Korea,level_2,shape,medium,Does the vehicle appear to be a sedan-type passenger car?,yes,yes|no|unknown,The vehicle appears as a sedan-type passenger car (typical taxi car form).
2,Deluxe taxi in South Korea,level_2,others,high,Is there Korean Hangul text on the taxi or in the immediate surroundings?,yes,yes|no|unknown,"Korean (Hangul) text is visible either on the taxi (e.g., roof sign/door markings) or in the immediate surroundings (e.g., street signs/building signs), supporting that the location is South Korea."
2,Deluxe taxi in South Korea,level_2,others,high,"Does the taxi display labeling or markings indicating deluxe or premium status, such as '모범' or 'Deluxe'?",yes,yes|no|unknown,"The deluxe/premium status is supported by visible labeling/markings (e.g., Hangul such as '모범' or English such as 'Deluxe', or equivalent deluxe-status wording/insignia)."
3,A current London police officer uniform,level_1,existence,high,Is a London police officer uniform depicted?,yes,yes|no|unknown,A London police officer uniform is depicted (clothing/equipment identifiable as a police uniform).
3,A current London police officer uniform,level_1,relation,low,"Does the uniform include a visible identifier that ties it to London policing, such as “METROPOLITAN POLICE”, “CITY OF LONDON POLICE”, or a London-specific police badge or insignia?",yes,yes|no|unknown,"At least one visible identifier specifically ties the uniform to London policing (e.g., readable text such as “METROPOLITAN POLICE” or “CITY OF LONDON POLICE”, or a clearly London-specific police badge/insignia)."
3,A current London police officer uniform,level_1,others,high,Does the London police officer uniform appear contemporary and modern in cut and materials?,yes,yes|no|unknown,"The uniform appears contemporary/modern rather than historical (e.g., modern cut/materials rather than an old-style tunic-only look)."
3,A current London police officer uniform,level_2,existence,high,Is a contemporary police outer garment present as part of the uniform?,yes,yes|no|unknown,"A contemporary police outer garment is present as part of the uniform (e.g., a stab vest/utility vest and/or a high-visibility police jacket/vest)."
3,A current London police officer uniform,level_2,relation,high,"Does the uniform display a police identifier or marking such as the word ""POLICE"" on the vest or jacket?",yes,yes|no|unknown,"A visible police identifier/marking appears on the uniform (e.g., the word “POLICE” on the vest/jacket)."
3,A current London police officer uniform,level_2,others,medium,"Is at least one piece of modern duty equipment typical of current UK/London policing shown, such as a radio, body-worn camera, or utility attachments on a vest or belt?",yes,yes|no|unknown,"At least one piece of modern duty equipment typical of current UK/London policing is visible (e.g., radio, body-worn camera, utility/baton/handcuff attachments on vest or belt)."
