index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,Is a packaged consumer product for melatonin tablets shown?,yes,yes|no|unknown,"A packaged consumer product for melatonin tablets is shown (e.g., a bottle or similar retail container)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,Is the product label or packaging visible enough to identify the product?,yes,yes|no|unknown,The product label/packaging is visible enough to identify the product.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the brand name ""Amazon Elements""?",yes,yes|no|unknown,"The label/packaging shows the brand name ""Amazon Elements""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the product name ""Melatonin""?",yes,yes|no|unknown,"The label/packaging shows the product name ""Melatonin""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,counting,high,Does the label or packaging indicate a quantity of 260 tablets?,yes,yes|no|unknown,"The label/packaging indicates a quantity of ""260 tablets"" (using text and/or numerals)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,others,high,Does the label or packaging indicate the strength or dosage as 3 mg?,yes,yes|no|unknown,"The label/packaging indicates the strength/dosage as ""3 mg"" (using text and/or numerals)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_3,shape,low,Is the product packaged as a supplement-style bottle with a screw cap?,yes,yes|no|unknown,The product is packaged as a supplement-style bottle with a screw cap.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_3,color,low,Is the bottle amber or brown with a black cap?,yes,yes|no|unknown,The bottle is amber/brown and the cap is black.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_3,color,low,"Does the front label prominently feature a blue band behind the large ""MELATONIN"" text?",yes,yes|no|unknown,"The front label prominently features a blue band behind the large ""MELATONIN"" text."
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",level_1,existence,high,Is a pair of over-ear protective earmuffs shown?,yes,yes|no|unknown,A pair of over-ear protective earmuffs (hearing-protection style) is shown.
