index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,Is a packaged consumer product for melatonin tablets shown?,yes,yes|no|unknown,"A packaged consumer product for melatonin tablets is shown (e.g., a bottle or similar retail container)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,"Is the product label or packaging identifiable as Amazon Elements Melatonin 3mg, 260 Tablets?",yes,yes|no|unknown,The product label/packaging is visible enough to identify the product.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the brand name ""Amazon Elements""?",yes,yes|no|unknown,"The label/packaging shows the brand name ""Amazon Elements""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the product name ""Melatonin""?",yes,yes|no|unknown,"The label/packaging shows the product name ""Melatonin""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,counting,high,Does the label or packaging indicate a quantity of 260 tablets?,yes,yes|no|unknown,"The label/packaging indicates a quantity of ""260 tablets"" (using text and/or numerals)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,others,high,"Does the label or packaging indicate the strength or dosage as ""3 mg""?",yes,yes|no|unknown,"The label/packaging indicates the strength/dosage as ""3 mg"" (using text and/or numerals)."
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",level_1,existence,high,Is a pair of over-ear protective earmuffs shown?,yes,yes|no|unknown,A pair of over-ear protective earmuffs (hearing-protection style) is shown.
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",level_1,counting,high,Is exactly one pair of earmuffs shown?,yes,yes|no|unknown,Exactly one pair of earmuffs is shown.
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",level_1,relation,high,Are two earcups connected by a headband?,yes,yes|no|unknown,Two earcups are connected by a headband.
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",level_1,shape,high,Does the product have two large ear-covering cups sized to cover ears?,yes,yes|no|unknown,The product has two large ear-covering cups sized to cover ears (not in-ear or on-ear headphones).
