index,prompt,level,category,importance,question,gold_answer,answer_space,source_fact
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,Is a packaged consumer product for melatonin tablets shown?,yes,yes|no|unknown,"A packaged consumer product for melatonin tablets is shown (e.g., a bottle or similar retail container)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_1,existence,high,Is the product label or packaging visible enough to identify the product?,yes,yes|no|unknown,The product label/packaging is visible enough to identify the product.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the brand name ""Amazon Elements""?",yes,yes|no|unknown,"The label/packaging shows the brand name ""Amazon Elements""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,existence,high,"Does the label or packaging show the product name ""Melatonin""?",yes,yes|no|unknown,"The label/packaging shows the product name ""Melatonin""."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,counting,high,Does the label or packaging indicate 260 tablets?,yes,yes|no|unknown,"The label/packaging indicates a quantity of ""260 tablets"" (using text and/or numerals)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_2,others,high,Does the label show 3 mg?,yes,yes|no|unknown,"The label/packaging indicates the strength/dosage as ""3 mg"" (using text and/or numerals)."
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_3,color,low,Is the bottle brown with a black cap?,yes,yes|no|unknown,The bottle is brown with a black cap.
1,"Amazon Elements Melatonin 3mg, 260 Tablets",level_3,color,low,Is the label white with blue and black text?,yes,yes|no|unknown,The label is white with blue and black text.
3,"365 Everyday Value, Organic Pumpkin Spice Coffee, 12 oz",level_1,existence,high,Is a packaged consumer coffee product shown?,yes,yes|no|unknown,"A packaged consumer product of coffee is shown (e.g., a bag, can, box, or jar intended to contain coffee)."
3,"365 Everyday Value, Organic Pumpkin Spice Coffee, 12 oz",level_1,relation,high,Does the product packaging display readable labeling identifying it as the specified coffee product?,yes,yes|no|unknown,The product packaging displays readable labeling identifying it as the specified coffee product.
