index,prompt,brand,image_id,image_path
1,"Amazon Elements Melatonin 3mg, 260 Tablets",Amazon Elements,81DZLiIamjL,images/small/e4/e429aab6.jpg
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",AmazonBasics,817AAHs6lQL,images/small/81/81693ab9.jpg
3,"365 Everyday Value, Organic Pumpkin Spice Coffee, 12 oz",365 Everyday Value,81CtXqhGF2L,images/small/fe/fe1e14d8.jpg
4,"WHOLE FOODS MARKET Women's Care Probiotic, 30 CT",WHOLE FOODS MARKET,81LN70alA5L,images/small/94/948abef1.jpg
5,"Amazon Brand - Happy Belly Vanilla Wafers, 12 Ounce",Happy Belly,719hlkdhXmL,images/small/56/56037ec2.jpg
6,"Men's Um1527 Chukka Boots, Brown Tan, Womens 8",find.,7178G4tlyEL,images/small/f4/f4227187.jpg
7,"UMI By Amazon 100% Organic Cotton 1 Fitted Sheet Only, 300 Thread Count Soft Sateen Weave GOTS Certified with 30cm deep Pockets Size -Super King, Color- Silver",UMI,71qXvJLzyTL,images/small/87/87c11ce5.jpg
8,Amazon Brand - Symbol Men's Derby leather formal shoes - 10 UK/India (44 EU)(AZ-WS-114A),Amazon Brand - Symbol,81FnX-V4IiL,images/small/83/8310ab6b.jpg
9,Amazon Collection (Find) Platinum Plated Freshwater Cultured Pearl suta-ringusiruba-suwarohusuki-zirukonia pa-ruassya-kattohu-pupiasu (1 1/2 cttw),,71u1Yz5iwIL,images/small/ee/eea6cb50.jpg
10,"365 EVERYDAY VALUE Toronto Steak Dry Rub, 5 OZ",365 Everyday Value,81vrbQlLXRL,images/small/b6/b66efa34.jpg
